email_text,label
URGENT: Your password expires in 24 hours,1
Your recent order has shipped,0
You have a new secure message from IT,1
Can you double check these numbers?,0
Your account has been suspended verify immediately,1
Here are the notes from last week's sync,0
Claim your exclusive reward today,1
Can you double check these numbers?,0
Click here to update your payment details,1
Please review the attached project document,0
Claim your exclusive reward today,1
Please review the attached project document,0
Your account has been suspended verify immediately,1
Please review the attached project document,0
URGENT: Your password expires in 24 hours,1
Don't forget to submit your timesheet,0
Action required: verify your banking information,1
Your recent order has shipped,0
You have won a free gift card claim now,1
Lunch at noon?,0
You have won a free gift card claim now,1
Happy birthday! Wishing you the best.,0
Your account has been suspended verify immediately,1
Please review the attached project document,0
Security Alert: unusual sign-in detected,1
Code review requested for the new feature,0
Click here to update your payment details,1
Please review the attached project document,0
URGENT: Your password expires in 24 hours,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Your recent order has shipped,0
You have won a free gift card claim now,1
Happy birthday! Wishing you the best.,0
Click here to update your payment details,1
Can you double check these numbers?,0
You have won a free gift card claim now,1
Code review requested for the new feature,0
Claim your exclusive reward today,1
Reminder for today's appointment,0
Security Alert: unusual sign-in detected,1
Meeting scheduled tomorrow with the team,0
Your account has been suspended verify immediately,1
Lunch at noon?,0
Your invoice is attached please pay immediately,1
Don't forget to submit your timesheet,0
Click here to update your payment details,1
Happy birthday! Wishing you the best.,0
You have a new secure message from IT,1
Don't forget to submit your timesheet,0
Claim your exclusive reward today,1
Code review requested for the new feature,0
Your account has been suspended verify immediately,1
Code review requested for the new feature,0
Click here to update your payment details,1
Your recent order has shipped,0
Your account has been suspended verify immediately,1
Please review the attached project document,0
You have won a free gift card claim now,1
Code review requested for the new feature,0
You have won a free gift card claim now,1
Can you double check these numbers?,0
Action required: verify your banking information,1
Happy birthday! Wishing you the best.,0
Click here to update your payment details,1
Please review the attached project document,0
Update your billing details to avoid service interruption,1
Here are the notes from last week's sync,0
You have won a free gift card claim now,1
Please review the attached project document,0
Your account has been suspended verify immediately,1
Reminder for today's appointment,0
You have a new secure message from IT,1
Here are the notes from last week's sync,0
Update your billing details to avoid service interruption,1
Lunch at noon?,0
URGENT: Your password expires in 24 hours,1
Reminder for today's appointment,0
You have a new secure message from IT,1
Meeting scheduled tomorrow with the team,0
You have won a free gift card claim now,1
Here are the notes from last week's sync,0
You have won a free gift card claim now,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Here are the notes from last week's sync,0
Security Alert: unusual sign-in detected,1
Code review requested for the new feature,0
Click here to update your payment details,1
Don't forget to submit your timesheet,0
You have won a free gift card claim now,1
Don't forget to submit your timesheet,0
Your invoice is attached please pay immediately,1
Meeting scheduled tomorrow with the team,0
URGENT: Your password expires in 24 hours,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Lunch at noon?,0
Your account has been suspended verify immediately,1
Lunch at noon?,0
You have won a free gift card claim now,1
Please review the attached project document,0
You have won a free gift card claim now,1
Can you double check these numbers?,0
Your invoice is attached please pay immediately,1
Don't forget to submit your timesheet,0
You have won a free gift card claim now,1
Please review the attached project document,0
Click here to update your payment details,1
Reminder for today's appointment,0
Click here to update your payment details,1
Lunch at noon?,0
Action required: verify your banking information,1
Code review requested for the new feature,0
Action required: verify your banking information,1
Here are the notes from last week's sync,0
URGENT: Your password expires in 24 hours,1
Code review requested for the new feature,0
Click here to update your payment details,1
Lunch at noon?,0
Update your billing details to avoid service interruption,1
Meeting scheduled tomorrow with the team,0
URGENT: Your password expires in 24 hours,1
Please review the attached project document,0
Security Alert: unusual sign-in detected,1
Please review the attached project document,0
Action required: verify your banking information,1
Here are the notes from last week's sync,0
Click here to update your payment details,1
Lunch at noon?,0
Security Alert: unusual sign-in detected,1
Here are the notes from last week's sync,0
Security Alert: unusual sign-in detected,1
Reminder for today's appointment,0
Click here to update your payment details,1
Please review the attached project document,0
Security Alert: unusual sign-in detected,1
Happy birthday! Wishing you the best.,0
You have won a free gift card claim now,1
Don't forget to submit your timesheet,0
Update your billing details to avoid service interruption,1
Can you double check these numbers?,0
URGENT: Your password expires in 24 hours,1
Can you double check these numbers?,0
Update your billing details to avoid service interruption,1
Happy birthday! Wishing you the best.,0
Action required: verify your banking information,1
Your recent order has shipped,0
URGENT: Your password expires in 24 hours,1
Happy birthday! Wishing you the best.,0
Security Alert: unusual sign-in detected,1
Here are the notes from last week's sync,0
Security Alert: unusual sign-in detected,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Happy birthday! Wishing you the best.,0
You have won a free gift card claim now,1
Happy birthday! Wishing you the best.,0
Claim your exclusive reward today,1
Don't forget to submit your timesheet,0
You have a new secure message from IT,1
Reminder for today's appointment,0
You have won a free gift card claim now,1
Happy birthday! Wishing you the best.,0
You have a new secure message from IT,1
Lunch at noon?,0
Claim your exclusive reward today,1
Here are the notes from last week's sync,0
Action required: verify your banking information,1
Please review the attached project document,0
Your account has been suspended verify immediately,1
Your recent order has shipped,0
Claim your exclusive reward today,1
Can you double check these numbers?,0
Your account has been suspended verify immediately,1
Code review requested for the new feature,0
You have won a free gift card claim now,1
Lunch at noon?,0
Security Alert: unusual sign-in detected,1
Here are the notes from last week's sync,0
Your account has been suspended verify immediately,1
Reminder for today's appointment,0
URGENT: Your password expires in 24 hours,1
Can you double check these numbers?,0
URGENT: Your password expires in 24 hours,1
Can you double check these numbers?,0
Security Alert: unusual sign-in detected,1
Lunch at noon?,0
Your invoice is attached please pay immediately,1
Code review requested for the new feature,0
Action required: verify your banking information,1
Lunch at noon?,0
Update your billing details to avoid service interruption,1
Meeting scheduled tomorrow with the team,0
Security Alert: unusual sign-in detected,1
Can you double check these numbers?,0
Action required: verify your banking information,1
Reminder for today's appointment,0
URGENT: Your password expires in 24 hours,1
Can you double check these numbers?,0
Update your billing details to avoid service interruption,1
Reminder for today's appointment,0
URGENT: Your password expires in 24 hours,1
Code review requested for the new feature,0
Claim your exclusive reward today,1
Here are the notes from last week's sync,0
Click here to update your payment details,1
Please review the attached project document,0
Action required: verify your banking information,1
Please review the attached project document,0
Update your billing details to avoid service interruption,1
Lunch at noon?,0
Security Alert: unusual sign-in detected,1
Can you double check these numbers?,0
Claim your exclusive reward today,1
Don't forget to submit your timesheet,0
Your account has been suspended verify immediately,1
Reminder for today's appointment,0
URGENT: Your password expires in 24 hours,1
Happy birthday! Wishing you the best.,0
Click here to update your payment details,1
Lunch at noon?,0
Your invoice is attached please pay immediately,1
Please review the attached project document,0
You have a new secure message from IT,1
Reminder for today's appointment,0
You have a new secure message from IT,1
Don't forget to submit your timesheet,0
Your account has been suspended verify immediately,1
Your recent order has shipped,0
You have won a free gift card claim now,1
Happy birthday! Wishing you the best.,0
Security Alert: unusual sign-in detected,1
Can you double check these numbers?,0
Your invoice is attached please pay immediately,1
Meeting scheduled tomorrow with the team,0
Claim your exclusive reward today,1
Don't forget to submit your timesheet,0
Claim your exclusive reward today,1
Reminder for today's appointment,0
Update your billing details to avoid service interruption,1
Reminder for today's appointment,0
You have won a free gift card claim now,1
Can you double check these numbers?,0
Click here to update your payment details,1
Reminder for today's appointment,0
You have a new secure message from IT,1
Here are the notes from last week's sync,0
You have won a free gift card claim now,1
Don't forget to submit your timesheet,0
URGENT: Your password expires in 24 hours,1
Don't forget to submit your timesheet,0
You have won a free gift card claim now,1
Your recent order has shipped,0
You have a new secure message from IT,1
Please review the attached project document,0
You have a new secure message from IT,1
Here are the notes from last week's sync,0
Security Alert: unusual sign-in detected,1
Please review the attached project document,0
Your invoice is attached please pay immediately,1
Don't forget to submit your timesheet,0
Click here to update your payment details,1
Code review requested for the new feature,0
URGENT: Your password expires in 24 hours,1
Here are the notes from last week's sync,0
Security Alert: unusual sign-in detected,1
Here are the notes from last week's sync,0
Action required: verify your banking information,1
Can you double check these numbers?,0
Click here to update your payment details,1
Happy birthday! Wishing you the best.,0
You have a new secure message from IT,1
Here are the notes from last week's sync,0
URGENT: Your password expires in 24 hours,1
Can you double check these numbers?,0
You have won a free gift card claim now,1
Lunch at noon?,0
Security Alert: unusual sign-in detected,1
Happy birthday! Wishing you the best.,0
Action required: verify your banking information,1
Can you double check these numbers?,0
Security Alert: unusual sign-in detected,1
Happy birthday! Wishing you the best.,0
Your account has been suspended verify immediately,1
Reminder for today's appointment,0
Click here to update your payment details,1
Your recent order has shipped,0
Action required: verify your banking information,1
Happy birthday! Wishing you the best.,0
Claim your exclusive reward today,1
Meeting scheduled tomorrow with the team,0
Claim your exclusive reward today,1
Don't forget to submit your timesheet,0
You have won a free gift card claim now,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Can you double check these numbers?,0
Your invoice is attached please pay immediately,1
Can you double check these numbers?,0
You have a new secure message from IT,1
Meeting scheduled tomorrow with the team,0
Your invoice is attached please pay immediately,1
Please review the attached project document,0
You have a new secure message from IT,1
Happy birthday! Wishing you the best.,0
You have a new secure message from IT,1
Code review requested for the new feature,0
Action required: verify your banking information,1
Meeting scheduled tomorrow with the team,0
Claim your exclusive reward today,1
Lunch at noon?,0
You have a new secure message from IT,1
Can you double check these numbers?,0
Your invoice is attached please pay immediately,1
Meeting scheduled tomorrow with the team,0
Update your billing details to avoid service interruption,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Happy birthday! Wishing you the best.,0
Security Alert: unusual sign-in detected,1
Reminder for today's appointment,0
You have a new secure message from IT,1
Don't forget to submit your timesheet,0
You have won a free gift card claim now,1
Don't forget to submit your timesheet,0
Your account has been suspended verify immediately,1
Your recent order has shipped,0
Your account has been suspended verify immediately,1
Code review requested for the new feature,0
Your account has been suspended verify immediately,1
Please review the attached project document,0
Security Alert: unusual sign-in detected,1
Don't forget to submit your timesheet,0
Update your billing details to avoid service interruption,1
Reminder for today's appointment,0
Security Alert: unusual sign-in detected,1
Please review the attached project document,0
Click here to update your payment details,1
Lunch at noon?,0
Security Alert: unusual sign-in detected,1
Reminder for today's appointment,0
Update your billing details to avoid service interruption,1
Don't forget to submit your timesheet,0
Security Alert: unusual sign-in detected,1
Please review the attached project document,0
Click here to update your payment details,1
Code review requested for the new feature,0
Your invoice is attached please pay immediately,1
Code review requested for the new feature,0
URGENT: Your password expires in 24 hours,1
Meeting scheduled tomorrow with the team,0
Your invoice is attached please pay immediately,1
Here are the notes from last week's sync,0
Your account has been suspended verify immediately,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Lunch at noon?,0
Your invoice is attached please pay immediately,1
Lunch at noon?,0
Update your billing details to avoid service interruption,1
Reminder for today's appointment,0
Your account has been suspended verify immediately,1
Meeting scheduled tomorrow with the team,0
Your invoice is attached please pay immediately,1
Lunch at noon?,0
Action required: verify your banking information,1
Happy birthday! Wishing you the best.,0
Claim your exclusive reward today,1
Lunch at noon?,0
Your account has been suspended verify immediately,1
Can you double check these numbers?,0
You have a new secure message from IT,1
Please review the attached project document,0
URGENT: Your password expires in 24 hours,1
Your recent order has shipped,0
URGENT: Your password expires in 24 hours,1
Lunch at noon?,0
Security Alert: unusual sign-in detected,1
Please review the attached project document,0
Action required: verify your banking information,1
Lunch at noon?,0
You have won a free gift card claim now,1
Meeting scheduled tomorrow with the team,0
URGENT: Your password expires in 24 hours,1
Don't forget to submit your timesheet,0
Click here to update your payment details,1
Here are the notes from last week's sync,0
URGENT: Your password expires in 24 hours,1
Meeting scheduled tomorrow with the team,0
Update your billing details to avoid service interruption,1
Don't forget to submit your timesheet,0
Claim your exclusive reward today,1
Reminder for today's appointment,0
Your invoice is attached please pay immediately,1
Your recent order has shipped,0
Your invoice is attached please pay immediately,1
Code review requested for the new feature,0
Action required: verify your banking information,1
Can you double check these numbers?,0
Security Alert: unusual sign-in detected,1
Code review requested for the new feature,0
You have a new secure message from IT,1
Happy birthday! Wishing you the best.,0
Claim your exclusive reward today,1
Your recent order has shipped,0
You have won a free gift card claim now,1
Meeting scheduled tomorrow with the team,0
You have a new secure message from IT,1
Happy birthday! Wishing you the best.,0
You have won a free gift card claim now,1
Code review requested for the new feature,0
Action required: verify your banking information,1
Please review the attached project document,0
Your invoice is attached please pay immediately,1
Meeting scheduled tomorrow with the team,0
URGENT: Your password expires in 24 hours,1
Reminder for today's appointment,0
Update your billing details to avoid service interruption,1
Can you double check these numbers?,0
URGENT: Your password expires in 24 hours,1
Reminder for today's appointment,0
Claim your exclusive reward today,1
Lunch at noon?,0
URGENT: Your password expires in 24 hours,1
Code review requested for the new feature,0
Update your billing details to avoid service interruption,1
Here are the notes from last week's sync,0
You have won a free gift card claim now,1
Can you double check these numbers?,0
URGENT: Your password expires in 24 hours,1
Please review the attached project document,0
Action required: verify your banking information,1
Please review the attached project document,0
Your account has been suspended verify immediately,1
Please review the attached project document,0
Security Alert: unusual sign-in detected,1
Code review requested for the new feature,0
Action required: verify your banking information,1
Your recent order has shipped,0
Click here to update your payment details,1
Reminder for today's appointment,0
URGENT: Your password expires in 24 hours,1
Code review requested for the new feature,0
Your invoice is attached please pay immediately,1
Your recent order has shipped,0
Action required: verify your banking information,1
Please review the attached project document,0
You have won a free gift card claim now,1
Happy birthday! Wishing you the best.,0
You have won a free gift card claim now,1
Meeting scheduled tomorrow with the team,0
You have a new secure message from IT,1
Don't forget to submit your timesheet,0
Action required: verify your banking information,1
Please review the attached project document,0
Claim your exclusive reward today,1
Happy birthday! Wishing you the best.,0
Click here to update your payment details,1
Code review requested for the new feature,0
Update your billing details to avoid service interruption,1
Meeting scheduled tomorrow with the team,0
Claim your exclusive reward today,1
Reminder for today's appointment,0
Click here to update your payment details,1
Your recent order has shipped,0
You have won a free gift card claim now,1
Meeting scheduled tomorrow with the team,0
Security Alert: unusual sign-in detected,1
Meeting scheduled tomorrow with the team,0
Your account has been suspended verify immediately,1
Can you double check these numbers?,0
Security Alert: unusual sign-in detected,1
Please review the attached project document,0
URGENT: Your password expires in 24 hours,1
Can you double check these numbers?,0
Your invoice is attached please pay immediately,1
Meeting scheduled tomorrow with the team,0
Your invoice is attached please pay immediately,1
Meeting scheduled tomorrow with the team,0
Update your billing details to avoid service interruption,1
Lunch at noon?,0
URGENT: Your password expires in 24 hours,1
Lunch at noon?,0
Your invoice is attached please pay immediately,1
Happy birthday! Wishing you the best.,0
You have won a free gift card claim now,1
Your recent order has shipped,0
Claim your exclusive reward today,1
Here are the notes from last week's sync,0
Claim your exclusive reward today,1
Can you double check these numbers?,0
Your invoice is attached please pay immediately,1
Please review the attached project document,0
Action required: verify your banking information,1
Lunch at noon?,0
Your account has been suspended verify immediately,1
Please review the attached project document,0
Action required: verify your banking information,1
Please review the attached project document,0
Security Alert: unusual sign-in detected,1
Can you double check these numbers?,0
Update your billing details to avoid service interruption,1
Code review requested for the new feature,0
Action required: verify your banking information,1
Meeting scheduled tomorrow with the team,0
Update your billing details to avoid service interruption,1
Lunch at noon?,0
Claim your exclusive reward today,1
Please review the attached project document,0
You have a new secure message from IT,1
Don't forget to submit your timesheet,0
You have won a free gift card claim now,1
Your recent order has shipped,0
Security Alert: unusual sign-in detected,1
Here are the notes from last week's sync,0
You have a new secure message from IT,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Meeting scheduled tomorrow with the team,0
URGENT: Your password expires in 24 hours,1
Reminder for today's appointment,0
You have a new secure message from IT,1
Meeting scheduled tomorrow with the team,0
Click here to update your payment details,1
Please review the attached project document,0
You have won a free gift card claim now,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Here are the notes from last week's sync,0
Click here to update your payment details,1
Happy birthday! Wishing you the best.,0
Claim your exclusive reward today,1
Your recent order has shipped,0
You have a new secure message from IT,1
Your recent order has shipped,0
Click here to update your payment details,1
Don't forget to submit your timesheet,0
Your account has been suspended verify immediately,1
Please review the attached project document,0
You have a new secure message from IT,1
Can you double check these numbers?,0
Update your billing details to avoid service interruption,1
Can you double check these numbers?,0
Your invoice is attached please pay immediately,1
Lunch at noon?,0
Your account has been suspended verify immediately,1
Meeting scheduled tomorrow with the team,0
Click here to update your payment details,1
Lunch at noon?,0
Your account has been suspended verify immediately,1
Don't forget to submit your timesheet,0
Claim your exclusive reward today,1
Meeting scheduled tomorrow with the team,0
Your invoice is attached please pay immediately,1
Please review the attached project document,0
Security Alert: unusual sign-in detected,1
Meeting scheduled tomorrow with the team,0
Your invoice is attached please pay immediately,1
Here are the notes from last week's sync,0
You have won a free gift card claim now,1
Don't forget to submit your timesheet,0
Your invoice is attached please pay immediately,1
Reminder for today's appointment,0
You have a new secure message from IT,1
Code review requested for the new feature,0
You have won a free gift card claim now,1
Lunch at noon?,0
You have a new secure message from IT,1
Reminder for today's appointment,0
You have won a free gift card claim now,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Here are the notes from last week's sync,0
URGENT: Your password expires in 24 hours,1
Happy birthday! Wishing you the best.,0
Claim your exclusive reward today,1
Please review the attached project document,0
Click here to update your payment details,1
Code review requested for the new feature,0
Action required: verify your banking information,1
Here are the notes from last week's sync,0
URGENT: Your password expires in 24 hours,1
Here are the notes from last week's sync,0
You have a new secure message from IT,1
Please review the attached project document,0
URGENT: Your password expires in 24 hours,1
Happy birthday! Wishing you the best.,0
You have won a free gift card claim now,1
Happy birthday! Wishing you the best.,0
Your invoice is attached please pay immediately,1
Please review the attached project document,0
Claim your exclusive reward today,1
Meeting scheduled tomorrow with the team,0
Claim your exclusive reward today,1
Your recent order has shipped,0
URGENT: Your password expires in 24 hours,1
Reminder for today's appointment,0
Your account has been suspended verify immediately,1
Reminder for today's appointment,0
Update your billing details to avoid service interruption,1
Here are the notes from last week's sync,0
Security Alert: unusual sign-in detected,1
Please review the attached project document,0
Security Alert: unusual sign-in detected,1
Your recent order has shipped,0
Action required: verify your banking information,1
Reminder for today's appointment,0
Your account has been suspended verify immediately,1
Your recent order has shipped,0
Click here to update your payment details,1
Meeting scheduled tomorrow with the team,0
URGENT: Your password expires in 24 hours,1
Code review requested for the new feature,0
You have a new secure message from IT,1
Reminder for today's appointment,0
Your account has been suspended verify immediately,1
Meeting scheduled tomorrow with the team,0
Click here to update your payment details,1
Can you double check these numbers?,0
Action required: verify your banking information,1
Reminder for today's appointment,0
Claim your exclusive reward today,1
Reminder for today's appointment,0
URGENT: Your password expires in 24 hours,1
Reminder for today's appointment,0
Your invoice is attached please pay immediately,1
Reminder for today's appointment,0
URGENT: Your password expires in 24 hours,1
Code review requested for the new feature,0
Your invoice is attached please pay immediately,1
Please review the attached project document,0
Your invoice is attached please pay immediately,1
Here are the notes from last week's sync,0
Click here to update your payment details,1
Happy birthday! Wishing you the best.,0
Action required: verify your banking information,1
Reminder for today's appointment,0
Your account has been suspended verify immediately,1
Happy birthday! Wishing you the best.,0
Update your billing details to avoid service interruption,1
Code review requested for the new feature,0
Update your billing details to avoid service interruption,1
Don't forget to submit your timesheet,0
Security Alert: unusual sign-in detected,1
Meeting scheduled tomorrow with the team,0
Your invoice is attached please pay immediately,1
Lunch at noon?,0
Your invoice is attached please pay immediately,1
Happy birthday! Wishing you the best.,0
Your invoice is attached please pay immediately,1
Happy birthday! Wishing you the best.,0
Your invoice is attached please pay immediately,1
Here are the notes from last week's sync,0
Update your billing details to avoid service interruption,1
Don't forget to submit your timesheet,0
You have won a free gift card claim now,1
Meeting scheduled tomorrow with the team,0
Update your billing details to avoid service interruption,1
Please review the attached project document,0
Claim your exclusive reward today,1
Don't forget to submit your timesheet,0
URGENT: Your password expires in 24 hours,1
Code review requested for the new feature,0
Update your billing details to avoid service interruption,1
Don't forget to submit your timesheet,0
You have won a free gift card claim now,1
Lunch at noon?,0
Your invoice is attached please pay immediately,1
Lunch at noon?,0
Your invoice is attached please pay immediately,1
Please review the attached project document,0
Update your billing details to avoid service interruption,1
Please review the attached project document,0
Security Alert: unusual sign-in detected,1
Here are the notes from last week's sync,0
You have a new secure message from IT,1
Meeting scheduled tomorrow with the team,0
Click here to update your payment details,1
Lunch at noon?,0
Your account has been suspended verify immediately,1
Lunch at noon?,0
Your invoice is attached please pay immediately,1
Happy birthday! Wishing you the best.,0
Claim your exclusive reward today,1
Meeting scheduled tomorrow with the team,0
Action required: verify your banking information,1
Here are the notes from last week's sync,0
URGENT: Your password expires in 24 hours,1
Can you double check these numbers?,0
You have won a free gift card claim now,1
Lunch at noon?,0
URGENT: Your password expires in 24 hours,1
Lunch at noon?,0
You have won a free gift card claim now,1
Please review the attached project document,0
Click here to update your payment details,1
Here are the notes from last week's sync,0
Your invoice is attached please pay immediately,1
Can you double check these numbers?,0
URGENT: Your password expires in 24 hours,1
Code review requested for the new feature,0
You have a new secure message from IT,1
Happy birthday! Wishing you the best.,0
Your invoice is attached please pay immediately,1
Can you double check these numbers?,0
Update your billing details to avoid service interruption,1
Can you double check these numbers?,0
Claim your exclusive reward today,1
Can you double check these numbers?,0
You have a new secure message from IT,1
Meeting scheduled tomorrow with the team,0
Action required: verify your banking information,1
Your recent order has shipped,0
Your account has been suspended verify immediately,1
Don't forget to submit your timesheet,0
Security Alert: unusual sign-in detected,1
Here are the notes from last week's sync,0
Update your billing details to avoid service interruption,1
Can you double check these numbers?,0
Your invoice is attached please pay immediately,1
Please review the attached project document,0
Claim your exclusive reward today,1
Lunch at noon?,0
Update your billing details to avoid service interruption,1
Your recent order has shipped,0
You have a new secure message from IT,1
Meeting scheduled tomorrow with the team,0
Click here to update your payment details,1
Reminder for today's appointment,0
Your invoice is attached please pay immediately,1
Can you double check these numbers?,0
You have a new secure message from IT,1
Meeting scheduled tomorrow with the team,0
Action required: verify your banking information,1
Please review the attached project document,0
Update your billing details to avoid service interruption,1
Here are the notes from last week's sync,0
You have won a free gift card claim now,1
Meeting scheduled tomorrow with the team,0
Action required: verify your banking information,1
Can you double check these numbers?,0
Action required: verify your banking information,1
Can you double check these numbers?,0
Click here to update your payment details,1
Code review requested for the new feature,0
Action required: verify your banking information,1
Here are the notes from last week's sync,0
Update your billing details to avoid service interruption,1
Code review requested for the new feature,0
URGENT: Your password expires in 24 hours,1
Can you double check these numbers?,0
Update your billing details to avoid service interruption,1
Here are the notes from last week's sync,0
Your invoice is attached please pay immediately,1
Here are the notes from last week's sync,0
Your invoice is attached please pay immediately,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Meeting scheduled tomorrow with the team,0
Your account has been suspended verify immediately,1
Lunch at noon?,0
You have a new secure message from IT,1
Reminder for today's appointment,0
Your invoice is attached please pay immediately,1
Please review the attached project document,0
URGENT: Your password expires in 24 hours,1
Can you double check these numbers?,0
You have won a free gift card claim now,1
Meeting scheduled tomorrow with the team,0
Click here to update your payment details,1
Meeting scheduled tomorrow with the team,0
Claim your exclusive reward today,1
Lunch at noon?,0
Your invoice is attached please pay immediately,1
Here are the notes from last week's sync,0
Your invoice is attached please pay immediately,1
Lunch at noon?,0
Claim your exclusive reward today,1
Here are the notes from last week's sync,0
Update your billing details to avoid service interruption,1
Lunch at noon?,0
Click here to update your payment details,1
Your recent order has shipped,0
Update your billing details to avoid service interruption,1
Your recent order has shipped,0
Action required: verify your banking information,1
Happy birthday! Wishing you the best.,0
Click here to update your payment details,1
Code review requested for the new feature,0
Security Alert: unusual sign-in detected,1
Reminder for today's appointment,0
Click here to update your payment details,1
Please review the attached project document,0
Your invoice is attached please pay immediately,1
Here are the notes from last week's sync,0
Click here to update your payment details,1
Please review the attached project document,0
Your invoice is attached please pay immediately,1
Happy birthday! Wishing you the best.,0
Security Alert: unusual sign-in detected,1
Meeting scheduled tomorrow with the team,0
URGENT: Your password expires in 24 hours,1
Your recent order has shipped,0
Action required: verify your banking information,1
Reminder for today's appointment,0
Your invoice is attached please pay immediately,1
Lunch at noon?,0
Your account has been suspended verify immediately,1
Reminder for today's appointment,0
Claim your exclusive reward today,1
Meeting scheduled tomorrow with the team,0
Update your billing details to avoid service interruption,1
Happy birthday! Wishing you the best.,0
You have a new secure message from IT,1
Here are the notes from last week's sync,0
You have a new secure message from IT,1
Can you double check these numbers?,0
Your invoice is attached please pay immediately,1
Happy birthday! Wishing you the best.,0
Update your billing details to avoid service interruption,1
Code review requested for the new feature,0
Your invoice is attached please pay immediately,1
Reminder for today's appointment,0
Claim your exclusive reward today,1
Please review the attached project document,0
Action required: verify your banking information,1
Your recent order has shipped,0
You have a new secure message from IT,1
Can you double check these numbers?,0
Click here to update your payment details,1
Please review the attached project document,0
You have a new secure message from IT,1
Meeting scheduled tomorrow with the team,0
Action required: verify your banking information,1
Reminder for today's appointment,0
Your invoice is attached please pay immediately,1
Code review requested for the new feature,0
You have a new secure message from IT,1
Your recent order has shipped,0
Action required: verify your banking information,1
Don't forget to submit your timesheet,0
You have won a free gift card claim now,1
Don't forget to submit your timesheet,0
Click here to update your payment details,1
Don't forget to submit your timesheet,0
Claim your exclusive reward today,1
Lunch at noon?,0
You have a new secure message from IT,1
Can you double check these numbers?,0
Security Alert: unusual sign-in detected,1
